country,gold,silver,bronze
United States,1069,842,744
Greece,36,45,41
Germany,446,460,498
France,231,256,285
Great Britain,291,324,313
Hungary,182,156,177
Austria,22,37,43
Australia,162,170,209
Denmark,48,82,83
Switzerland,56,84,72
Belgium,46,57,63
Italy,222,193,214
Netherlands,98,106,125
Cuba,84,69,82
Spain,48,72,49
Norway,59,53,50
India,10,9,16
Sweden,146,177,181
Canada,70,110,145
Russian Federation,169,158,176
Finland,104,86,120
South Africa,27,34,30
Estonia,10,9,17
Brazil,37,42,71
Japan,169,150,180
Luxembourg,3,2,0
New Zealand,53,33,51
Argentina,21,26,30
Uruguay,2,2,6
Ireland,11,11,16
Poland,75,91,140
Haiti,0,1,1
Monaco,0,0,1
Portugal,5,9,14
Romania,90,97,121
Egypt,8,10,18
Chile,2,7,4
Philippines,1,5,8
Mexico,13,24,35
Latvia,4,11,6
Turkey,41,26,36
Jamaica,26,36,25
Peru,1,3,0
Sri Lanka,0,2,0
Trinidad and Tobago,3,5,11
Panama,1,0,2
Republic of Korea,96,91,100
Islamic Republic of Iran,24,23,29
Puerto Rico,2,2,6
Lebanon,0,2,2
Bulgaria,54,88,82
Venezuela,3,7,9
Iceland,0,2,2
Pakistan,3,3,4
The Bahamas,8,2,6
Ethiopia,23,12,23
Chinese Taipei,7,11,18
Ghana,0,1,4
Morocco,7,5,12
Singapore,1,2,2
Iraq,0,0,1
Tunisia,5,3,7
Kenya,35,42,36
Nigeria,3,11,13
Mongolia,2,11,17
Uganda,4,4,3
Cameroon,3,1,2
Democratic People's Republic of Korea,16,16,23
Colombia,5,13,16
Niger,0,1,1
Bermuda,1,0,1
Thailand,10,8,17
Zimbabwe,3,4,1
United Republic of Tanzania,0,2,0
Guyana,0,0,1
People's Republic of China,264,202,177
Côte d'Ivoire,1,1,2
Syrian Arab Republic,1,1,2
Algeria,5,4,8
Dominican Republic,3,5,4
Zambia,0,1,1
Suriname,1,0,1
Costa Rica,1,1,2
Indonesia,8,14,15
Netherlands Antilles,0,1,0
Senegal,0,1,0
United States Virgin Islands,0,1,0
Djibouti,0,0,1
Lithuania,6,7,13
Namibia,0,5,0
Croatia,14,13,14
Israel,3,1,9
Slovenia,8,9,11
Malaysia,0,8,5
Qatar,2,2,4
Ukraine,35,36,68
Czech Republic,19,21,27
Kazakhstan,14,21,36
Belarus,13,30,42
Serbia and Montenegro,2,4,3
Slovakia,10,14,8
Armenia,2,8,8
Burundi,1,1,0
Ecuador,3,2,0
Republic of Moldova,0,2,4
Uzbekistan,10,6,20
Azerbaijan,7,14,28
Tonga,0,1,0
Georgia,10,12,18
Mozambique,1,0,1
Kingdom of Saudi Arabia,0,2,2
Vietnam,1,3,1
Barbados,0,0,1
Kuwait,0,0,3
Kyrgyzstan,0,3,4
North Macedonia,0,1,1
United Arab Emirates,1,0,1
Paraguay,0,1,0
Eritrea,0,0,1
Serbia,6,7,11
Tajikistan,1,1,2
Samoa,0,1,0
Sudan,0,1,0
Afghanistan,0,0,2
Mauritius,0,0,1
Togo,0,0,1
Bahrain,2,2,0
Grenada,1,1,1
Botswana,0,1,1
Cyprus,0,1,0
Gabon,0,1,0
Guatemala,0,1,0
Montenegro,0,1,0
Fiji,2,0,1
Jordan,1,1,1
Kosovo,3,0,0
San Marino,0,1,2
Turkmenistan,0,1,0
Burkina Faso,0,0,1
